gene_id	pvalue	padj	log2FoldChange	baseMean	rank	rank_frac	neglog10_pvalue	distance_to_line	selected_by_source_constrained_bend	branch	source_gene_symbol	source_symbol_norm	source_log2fc_control	source_log2fc_cko	source_rss_shift	source_rss_sign	direction_consistent_with_source_rss	appears_in_retained_go_terms	appears_in_anchor_gene_table
ENSMUSG00000073680	2.19469810489912e-284	7.85189825329407e-281	5.08308445413073	829.441405581674	1	0.0	283.65862521136427	0.0	True	WT/FF	TMEM88B	TMEM88B	4.9325246556392	5.36324665795542	0.4307220023162204	positive	True	True	True
ENSMUSG00000042816	6.7809403721970696e-195	1.45559666029582e-191	4.10296832037442	871.386730841559	2	0.0009746588693957114	194.16871007454935	0.3145079997759567	True	WT/FF	GPR151	GPR151	3.99881410997022	4.50903849023692	0.5102243802666999	positive	True	True	True
ENSMUSG00000030898	3.0460454755344797e-153	4.08665076111395e-150	5.49531729321819	448.701168850465	3	0.001949317738791423	152.51626361720935	0.4603725106284902	True	WT/FF	CCKBR	CCKBR	4.82708076418308	5.4833586940833	0.6562779299002202	positive	True	True	False
ENSMUSG00000046223	9.167844539046149e-153	1.0933163937509101e-149	2.75807170550098	1607.30022271194	4	0.0029239766081871343	152.0377327597317	0.4610848432601345	True	WT/FF	PLAUR	PLAUR	2.63952680958932	3.00559693519283	0.36607012560350993	positive	True	True	False
ENSMUSG00000037428	1.29483637825341e-143	1.32356941407561e-140	1.75043076387156	16683.7522086158	5	0.003898635477582846	142.88778510765317	0.49236689503701675	True	WT/FF	VGF	VGF	1.54490229419383	1.94282722902284	0.39792493482901015	positive	True	True	True
ENSMUSG00000031074	3.63617565824537e-128	2.5178756993514597e-125	7.34053327955246	419.275608392955	6	0.004873294346978557	127.43935514482192	0.5458532578096341	True	WT/FF	FGF3	FGF3	5.95297849848021	6.26088261977332	0.3079041212931104	positive	True	True	False
ENSMUSG00000027611	1.7028027967192002e-113	9.37240123958315e-111	3.51041902217287	1010.27671808777	7	0.005847953216374269	112.7688356451999	0.5965972193179905	True	WT/FF	PROCR	PROCR	3.43851486656922	2.80696908308428	-0.6315457834849401	negative	True	True	False
ENSMUSG00000024883	1.72352019428765e-80	4.74321596033061e-78	3.31476744966049	279.320328959232	8	0.00682261208576998	79.76358362364779	0.711977403150182	True	WT/FF	RIN1	RIN1	3.29951497598228	2.91482323457616	-0.38469174140612017	negative	True	True	False
ENSMUSG00000025746	2.37298575053152e-49	2.99638306593586e-47	3.40316593389207	63.9019948519848	9	0.007797270955165692	48.624704869656284	0.8207779809086542	True	WT/FF	IL6	IL6	3.31743510142868	4.29974811862375	0.9823130171950702	positive	True	True	False
ENSMUSG00000078532	5.3533019228176594e-49	6.60425167098873e-47	1.39386798570569	962.568400453881	10	0.008771929824561403	48.271378261993746	0.8210489256052818	True	WT/FF	NKAIN1	NKAIN1	1.32205010213963	1.63075791532942	0.30870781318979	positive	True	True	False
ENSMUSG00000054136	1.9459123460719402e-45	2.22185927770107e-43	6.81522470961713	101.915627579169	11	0.009746588693957114	44.710876726490405	0.8326262622233295	True	WT/FF	ADM2	ADM2	6.54366883783967	7.082943153426	0.5392743155863302	positive	True	True	False
ENSMUSG00000015316	1.1018795666223199e-42	1.1371609027459001e-40	4.09523917923679	53.4497156216035	12	0.010721247563352826	41.957865870465724	0.8413569171665407	True	WT/FF	SLAMF1	SLAMF1	4.04044671236119	4.41167557311982	0.37122886075863004	positive	True	True	False
