gene_id	pvalue	padj	log2FoldChange	baseMean	rank	rank_frac	neglog10_pvalue	distance_to_line	selected_by_source_constrained_bend	branch	source_gene_symbol	source_symbol_norm	source_log2fc_control	source_log2fc_cko	source_rss_shift	source_rss_sign	direction_consistent_with_source_rss	appears_in_retained_go_terms	appears_in_anchor_gene_table
ENSMUSG00000073680	1.4723406915260598e-280	4.51503789775691e-277	5.54718215950102	829.441405581674	1	0.0	279.831991685019	0.0	True	cKO/CRE	TMEM88B	TMEM88B	4.9325246556392	5.36324665795542	0.4307220023162204	positive	True	True	True
ENSMUSG00000037428	2.14788593951927e-231	5.76331494721509e-228	2.23334483939714	16683.7522086158	2	0.0009746588693957114	230.6679887849616	0.17471749404503817	True	cKO/CRE	VGF	VGF	1.54490229419383	1.94282722902284	0.39792493482901015	positive	True	True	True
ENSMUSG00000042816	4.12567580510634e-226	9.840195203601421e-223	4.65751605272948	871.386730841559	3	0.001949317738791423	225.38450490180765	0.192623863502347	True	cKO/CRE	GPR151	GPR151	3.99881410997022	4.50903849023692	0.5102243802666999	positive	True	True	True
ENSMUSG00000046223	3.82978808968239e-189	7.47365737573838e-186	3.12497870564791	1607.30022271194	4	0.0029239766081871343	188.41682525580362	0.3237566596415367	True	cKO/CRE	PLAUR	PLAUR	2.63952680958932	3.00559693519283	0.36607012560350993	positive	True	True	False
ENSMUSG00000030898	2.0741756563695103e-149	2.12020260188704e-146	6.17845771760935	448.701168850465	5	0.003898635477582846	148.68315446715545	0.4647739829329836	True	cKO/CRE	CCKBR	CCKBR	4.82708076418308	5.4833586940833	0.6562779299002202	positive	True	True	False
ENSMUSG00000031074	1.96632775700487e-95	6.59518619247913e-93	7.7778419559648	419.275608392955	6	0.004873294346978557	94.70634409016881	0.6566904930742259	True	cKO/CRE	FGF3	FGF3	5.95297849848021	6.26088261977332	0.3079041212931104	positive	True	True	False
ENSMUSG00000027611	2.60628982113209e-80	5.95176779791718e-78	2.89149901664077	1010.27671808777	7	0.005847953216374269	79.58397729210776	0.7097570276603758	True	cKO/CRE	PROCR	PROCR	3.43851486656922	2.80696908308428	-0.6315457834849401	negative	True	True	False
ENSMUSG00000078532	1.42236384423718e-71	2.52334399011532e-69	1.71892343954909	962.568400453881	8	0.00682261208576998	70.84698929577758	0.7400048159497385	True	cKO/CRE	NKAIN1	NKAIN1	1.32205010213963	1.63075791532942	0.30870781318979	positive	True	True	False
ENSMUSG00000024883	9.29013388057113e-69	1.54590708434372e-66	2.97754832589864	279.320328959232	9	0.007797270955165692	68.03197802732237	0.7490898684445974	True	cKO/CRE	RIN1	RIN1	3.29951497598228	2.91482323457616	-0.38469174140612017	negative	True	True	False
ENSMUSG00000106350	6.52124544423788e-64	9.588017445617149e-62	2.21357804507891	260.520731767091	10	0.008771929824561403	63.18566945366892	0.7654339511865108	True	cKO/CRE	KIF19B	KIF19B	1.52402376991837	2.17057650602648	0.6465527361081098	positive	True	True	False
