gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000026628	14650.8125638744	5.97087651689662	0.0941891565617516	63.3923981788927	0	0
ENSMUSG00000036390	7407.1258322948	3.51628381182173	0.0724754324795279	48.5169069231145	0	0
ENSMUSG00000051379	5691.6137247449	3.75342209906902	0.0875892431257382	42.8525463301563	0	0
ENSMUSG00000052684	12732.0800475042	1.92466208007051	0.0447278106347712	43.030545263807	0	0
ENSMUSG00000063632	2497.65847078636	3.27322619438355	0.0815434024066693	40.1409077592749	0	0
ENSMUSG00000019647	4767.59580221023	3.51563819831424	0.0922561998998657	38.1073380664941	9.68488229735137e-318	3.46492805658241e-314
ENSMUSG00000073680	829.441405581674	5.54718215950102	0.154983970950955	35.7919733599833	1.47234069152606e-280	4.51503789775691e-277
ENSMUSG00000037428	16683.7522086158	2.23334483939714	0.0687638658572622	32.478465420095	2.14788593951927e-231	5.76331494721509e-228
ENSMUSG00000042816	871.386730841559	4.65751605272948	0.145084620087904	32.1020660212472	4.12567580510634e-226	9.84019520360142e-223
ENSMUSG00000001473	1906.16456694685	2.17804187964076	0.0726109072705223	29.9960703083651	1.10426535925146e-197	2.37041602016918e-194
ENSMUSG00000046223	1607.30022271194	3.12497870564791	0.106531154312643	29.3339420361189	3.82978808968239e-189	7.47365737573838e-186
ENSMUSG00000031574	608.571398802081	3.94265223732176	0.134734450159408	29.2623915610083	3.1235139259497e-188	5.58744582786968e-185
ENSMUSG00000039328	1574.49890743604	1.94874145625898	0.0680701637486667	28.6284232171712	2.97606204356582e-180	4.91416521747569e-177
ENSMUSG00000004951	15797.5889209086	1.15400372698632	0.0403174781701016	28.6229144123925	3.48506314057231e-180	5.34359752682322e-177
ENSMUSG00000003752	1040.75557864385	1.72179335266923	0.0607489491071149	28.3427677017638	1.02770856633247e-176	1.47071947232619e-173
ENSMUSG00000046688	3648.23954981493	1.91971429402471	0.072020633351394	26.6550598723325	1.563603670825e-156	2.09776977487059e-153
ENSMUSG00000025473	1048.38171593927	2.67016631453317	0.100441403425887	26.5843190502949	1.03061616334989e-155	1.30136509190993e-152
ENSMUSG00000050164	465.540162224075	2.33155773759956	0.0885930212458266	26.3176230453863	1.20541509671143e-152	1.43752447033375e-149
ENSMUSG00000022044	2658.90010350879	2.07391787287171	0.0789072574748482	26.2829800355534	3.00194082016397e-152	3.3915611392442e-149
ENSMUSG00000028494	3835.80421163028	1.199389952076	0.0456580618150285	26.2689633417864	4.34094981465579e-152	4.65914143607006e-149
ENSMUSG00000030898	448.701168850465	6.17845771760935	0.23732810837264	26.0334005945401	2.07417565636951e-149	2.12020260188704e-146
ENSMUSG00000046731	1157.2547643915	1.63392703070226	0.063125729535217	25.8836934279026	1.01645829457232e-147	9.91786079604062e-145
ENSMUSG00000056749	929.498103792387	1.94436523806295	0.0770792108511756	25.2255467666518	2.10137984378745e-140	1.96122694464093e-137
ENSMUSG00000015652	387.376097678084	2.67526035113891	0.106464153614926	25.1282733230112	2.4422148463663e-139	2.18435766217079e-136
ENSMUSG00000024143	13685.106165604	1.53293614421736	0.0610719350465419	25.1005006317408	4.91111908979586e-139	4.21688329526232e-136
